state,state_fips,county_fips,county_name
DE,10,10001,Kent County
DE,10,10003,New Castle County
DE,10,10005,Sussex County
FL,12,12001,Alachua County
FL,12,12003,Baker County
FL,12,12005,Bay County
FL,12,12007,Bradford County
FL,12,12009,Brevard County
FL,12,12011,Broward County
FL,12,12013,Calhoun County
FL,12,12015,Charlotte County
FL,12,12017,Citrus County
FL,12,12019,Clay County
FL,12,12021,Collier County
FL,12,12023,Columbia County
FL,12,12027,DeSoto County
FL,12,12029,Dixie County
FL,12,12031,Duval County
FL,12,12033,Escambia County
FL,12,12035,Flagler County
FL,12,12037,Franklin County
FL,12,12039,Gadsden County
FL,12,12041,Gilchrist County
FL,12,12043,Glades County
FL,12,12045,Gulf County
FL,12,12047,Hamilton County
FL,12,12049,Hardee County
FL,12,12051,Hendry County
FL,12,12053,Hernando County
FL,12,12055,Highlands County
FL,12,12057,Hillsborough County
FL,12,12059,Holmes County
FL,12,12061,Indian River County
FL,12,12063,Jackson County
FL,12,12065,Jefferson County
FL,12,12067,Lafayette County
FL,12,12069,Lake County
FL,12,12071,Lee County
FL,12,12073,Leon County
FL,12,12075,Levy County
FL,12,12077,Liberty County
FL,12,12079,Madison County
FL,12,12081,Manatee County
FL,12,12083,Marion County
FL,12,12085,Martin County
FL,12,12086,Miami-Dade County
FL,12,12087,Monroe County
FL,12,12089,Nassau County
FL,12,12091,Okaloosa County
FL,12,12093,Okeechobee County
FL,12,12095,Orange County
FL,12,12097,Osceola County
FL,12,12099,Palm Beach County
FL,12,12101,Pasco County
FL,12,12103,Pinellas County
FL,12,12105,Polk County
FL,12,12107,Putnam County
FL,12,12109,St. Johns County
FL,12,12111,St. Lucie County
FL,12,12113,Santa Rosa County
FL,12,12115,Sarasota County
FL,12,12117,Seminole County
FL,12,12119,Sumter County
FL,12,12121,Suwannee County
FL,12,12123,Taylor County
FL,12,12125,Union County
FL,12,12127,Volusia County
FL,12,12129,Wakulla County
FL,12,12131,Walton County
FL,12,12133,Washington County
GA,13,13001,Appling County
GA,13,13003,Atkinson County
GA,13,13005,Bacon County
GA,13,13007,Baker County
GA,13,13009,Baldwin County
GA,13,13011,Banks County
GA,13,13013,Barrow County
GA,13,13015,Bartow County
GA,13,13017,Ben Hill County
GA,13,13019,Berrien County
GA,13,13021,Bibb County
GA,13,13023,Bleckley County
GA,13,13025,Brantley County
GA,13,13027,Brooks County
GA,13,13029,Bryan County
GA,13,13031,Bulloch County
GA,13,13033,Burke County
GA,13,13035,Butts County
GA,13,13037,Calhoun County
GA,13,13039,Camden County
GA,13,13043,Candler County
GA,13,13045,Carroll County
GA,13,13047,Catoosa County
GA,13,13049,Charlton County
GA,13,13051,Chatham County
GA,13,13053,Chattahoochee County
GA,13,13055,Chattooga County
GA,13,13057,Cherokee County
GA,13,13059,Clarke County
GA,13,13061,Clay County
GA,13,13063,Clayton County
GA,13,13065,Clinch County
GA,13,13067,Cobb County
GA,13,13069,Coffee County
GA,13,13071,Colquitt County
GA,13,13073,Columbia County
GA,13,13075,Cook County
GA,13,13077,Coweta County
GA,13,13079,Crawford County
GA,13,13081,Crisp County
GA,13,13083,Dade County
GA,13,13085,Dawson County
GA,13,13087,Decatur County
GA,13,13089,DeKalb County
GA,13,13091,Dodge County
GA,13,13093,Dooly County
GA,13,13095,Dougherty County
GA,13,13097,Douglas County
GA,13,13099,Early County
GA,13,13101,Echols County
GA,13,13103,Effingham County
GA,13,13105,Elbert County
GA,13,13107,Emanuel County
GA,13,13109,Evans County
GA,13,13111,Fannin County
GA,13,13113,Fayette County
GA,13,13115,Floyd County
GA,13,13117,Forsyth County
GA,13,13119,Franklin County
GA,13,13121,Fulton County
GA,13,13123,Gilmer County
GA,13,13125,Glascock County
GA,13,13127,Glynn County
GA,13,13129,Gordon County
GA,13,13131,Grady County
GA,13,13133,Greene County
GA,13,13135,Gwinnett County
GA,13,13137,Habersham County
GA,13,13139,Hall County
GA,13,13141,Hancock County
GA,13,13143,Haralson County
GA,13,13145,Harris County
GA,13,13147,Hart County
GA,13,13149,Heard County
GA,13,13151,Henry County
GA,13,13153,Houston County
GA,13,13155,Irwin County
GA,13,13157,Jackson County
GA,13,13159,Jasper County
GA,13,13161,Jeff Davis County
GA,13,13163,Jefferson County
GA,13,13165,Jenkins County
GA,13,13167,Johnson County
GA,13,13169,Jones County
GA,13,13171,Lamar County
GA,13,13173,Lanier County
GA,13,13175,Laurens County
GA,13,13177,Lee County
GA,13,13179,Liberty County
GA,13,13181,Lincoln County
GA,13,13183,Long County
GA,13,13185,Lowndes County
GA,13,13187,Lumpkin County
GA,13,13189,McDuffie County
GA,13,13191,McIntosh County
GA,13,13193,Macon County
GA,13,13195,Madison County
GA,13,13197,Marion County
GA,13,13199,Meriwether County
GA,13,13201,Miller County
GA,13,13205,Mitchell County
GA,13,13207,Monroe County
GA,13,13209,Montgomery County
GA,13,13211,Morgan County
GA,13,13213,Murray County
GA,13,13215,Muscogee County
GA,13,13217,Newton County
GA,13,13219,Oconee County
GA,13,13221,Oglethorpe County
GA,13,13223,Paulding County
GA,13,13225,Peach County
GA,13,13227,Pickens County
GA,13,13229,Pierce County
GA,13,13231,Pike County
GA,13,13233,Polk County
GA,13,13235,Pulaski County
GA,13,13237,Putnam County
GA,13,13239,Quitman County
GA,13,13241,Rabun County
GA,13,13243,Randolph County
GA,13,13245,Richmond County
GA,13,13247,Rockdale County
GA,13,13249,Schley County
GA,13,13251,Screven County
GA,13,13253,Seminole County
GA,13,13255,Spalding County
GA,13,13257,Stephens County
GA,13,13259,Stewart County
GA,13,13261,Sumter County
GA,13,13263,Talbot County
GA,13,13265,Taliaferro County
GA,13,13267,Tattnall County
GA,13,13269,Taylor County
GA,13,13271,Telfair County
GA,13,13273,Terrell County
GA,13,13275,Thomas County
GA,13,13277,Tift County
GA,13,13279,Toombs County
GA,13,13281,Towns County
GA,13,13283,Treutlen County
GA,13,13285,Troup County
GA,13,13287,Turner County
GA,13,13289,Twiggs County
GA,13,13291,Union County
GA,13,13293,Upson County
GA,13,13295,Walker County
GA,13,13297,Walton County
GA,13,13299,Ware County
GA,13,13301,Warren County
GA,13,13303,Washington County
GA,13,13305,Wayne County
GA,13,13307,Webster County
GA,13,13309,Wheeler County
GA,13,13311,White County
GA,13,13313,Whitfield County
GA,13,13315,Wilcox County
GA,13,13317,Wilkes County
GA,13,13319,Wilkinson County
GA,13,13321,Worth County
MD,24,24001,Allegany County
MD,24,24003,Anne Arundel County
MD,24,24005,Baltimore County
MD,24,24009,Calvert County
MD,24,24011,Caroline County
MD,24,24013,Carroll County
MD,24,24015,Cecil County
MD,24,24017,Charles County
MD,24,24019,Dorchester County
MD,24,24021,Frederick County
MD,24,24023,Garrett County
MD,24,24025,Harford County
MD,24,24027,Howard County
MD,24,24029,Kent County
MD,24,24031,Montgomery County
MD,24,24033,Prince George's County
MD,24,24035,Queen Anne's County
MD,24,24037,St. Mary's County
MD,24,24039,Somerset County
MD,24,24041,Talbot County
MD,24,24043,Washington County
MD,24,24045,Wicomico County
MD,24,24047,Worcester County
MD,24,24510,Baltimore city
NJ,34,34001,Atlantic County
NJ,34,34003,Bergen County
NJ,34,34005,Burlington County
NJ,34,34007,Camden County
NJ,34,34009,Cape May County
NJ,34,34011,Cumberland County
NJ,34,34013,Essex County
NJ,34,34015,Gloucester County
NJ,34,34017,Hudson County
NJ,34,34019,Hunterdon County
NJ,34,34021,Mercer County
NJ,34,34023,Middlesex County
NJ,34,34025,Monmouth County
NJ,34,34027,Morris County
NJ,34,34029,Ocean County
NJ,34,34031,Passaic County
NJ,34,34033,Salem County
NJ,34,34035,Somerset County
NJ,34,34037,Sussex County
NJ,34,34039,Union County
NJ,34,34041,Warren County
NC,37,37001,Alamance County
NC,37,37003,Alexander County
NC,37,37005,Alleghany County
NC,37,37007,Anson County
NC,37,37009,Ashe County
NC,37,37011,Avery County
NC,37,37013,Beaufort County
NC,37,37015,Bertie County
NC,37,37017,Bladen County
NC,37,37019,Brunswick County
NC,37,37021,Buncombe County
NC,37,37023,Burke County
NC,37,37025,Cabarrus County
NC,37,37027,Caldwell County
NC,37,37029,Camden County
NC,37,37031,Carteret County
NC,37,37033,Caswell County
NC,37,37035,Catawba County
NC,37,37037,Chatham County
NC,37,37039,Cherokee County
NC,37,37041,Chowan County
NC,37,37043,Clay County
NC,37,37045,Cleveland County
NC,37,37047,Columbus County
NC,37,37049,Craven County
NC,37,37051,Cumberland County
NC,37,37053,Currituck County
NC,37,37055,Dare County
NC,37,37057,Davidson County
NC,37,37059,Davie County
NC,37,37061,Duplin County
NC,37,37063,Durham County
NC,37,37065,Edgecombe County
NC,37,37067,Forsyth County
NC,37,37069,Franklin County
NC,37,37071,Gaston County
NC,37,37073,Gates County
NC,37,37075,Graham County
NC,37,37077,Granville County
NC,37,37079,Greene County
NC,37,37081,Guilford County
NC,37,37083,Halifax County
NC,37,37085,Harnett County
NC,37,37087,Haywood County
NC,37,37089,Henderson County
NC,37,37091,Hertford County
NC,37,37093,Hoke County
NC,37,37095,Hyde County
NC,37,37097,Iredell County
NC,37,37099,Jackson County
NC,37,37101,Johnston County
NC,37,37103,Jones County
NC,37,37105,Lee County
NC,37,37107,Lenoir County
NC,37,37109,Lincoln County
NC,37,37111,McDowell County
NC,37,37113,Macon County
NC,37,37115,Madison County
NC,37,37117,Martin County
NC,37,37119,Mecklenburg County
NC,37,37121,Mitchell County
NC,37,37123,Montgomery County
NC,37,37125,Moore County
NC,37,37127,Nash County
NC,37,37129,New Hanover County
NC,37,37131,Northampton County
NC,37,37133,Onslow County
NC,37,37135,Orange County
NC,37,37137,Pamlico County
NC,37,37139,Pasquotank County
NC,37,37141,Pender County
NC,37,37143,Perquimans County
NC,37,37145,Person County
NC,37,37147,Pitt County
NC,37,37149,Polk County
NC,37,37151,Randolph County
NC,37,37153,Richmond County
NC,37,37155,Robeson County
NC,37,37157,Rockingham County
NC,37,37159,Rowan County
NC,37,37161,Rutherford County
NC,37,37163,Sampson County
NC,37,37165,Scotland County
NC,37,37167,Stanly County
NC,37,37169,Stokes County
NC,37,37171,Surry County
NC,37,37173,Swain County
NC,37,37175,Transylvania County
NC,37,37177,Tyrrell County
NC,37,37179,Union County
NC,37,37181,Vance County
NC,37,37183,Wake County
NC,37,37185,Warren County
NC,37,37187,Washington County
NC,37,37189,Watauga County
NC,37,37191,Wayne County
NC,37,37193,Wilkes County
NC,37,37195,Wilson County
NC,37,37197,Yadkin County
NC,37,37199,Yancey County
SC,45,45001,Abbeville County
SC,45,45003,Aiken County
SC,45,45005,Allendale County
SC,45,45007,Anderson County
SC,45,45009,Bamberg County
SC,45,45011,Barnwell County
SC,45,45013,Beaufort County
SC,45,45015,Berkeley County
SC,45,45017,Calhoun County
SC,45,45019,Charleston County
SC,45,45021,Cherokee County
SC,45,45023,Chester County
SC,45,45025,Chesterfield County
SC,45,45027,Clarendon County
SC,45,45029,Colleton County
SC,45,45031,Darlington County
SC,45,45033,Dillon County
SC,45,45035,Dorchester County
SC,45,45037,Edgefield County
SC,45,45039,Fairfield County
SC,45,45041,Florence County
SC,45,45043,Georgetown County
SC,45,45045,Greenville County
SC,45,45047,Greenwood County
SC,45,45049,Hampton County
SC,45,45051,Horry County
SC,45,45053,Jasper County
SC,45,45055,Kershaw County
SC,45,45057,Lancaster County
SC,45,45059,Laurens County
SC,45,45061,Lee County
SC,45,45063,Lexington County
SC,45,45065,McCormick County
SC,45,45067,Marion County
SC,45,45069,Marlboro County
SC,45,45071,Newberry County
SC,45,45073,Oconee County
SC,45,45075,Orangeburg County
SC,45,45077,Pickens County
SC,45,45079,Richland County
SC,45,45081,Saluda County
SC,45,45083,Spartanburg County
SC,45,45085,Sumter County
SC,45,45087,Union County
SC,45,45089,Williamsburg County
SC,45,45091,York County
VA,51,51001,Accomack County
VA,51,51003,Albemarle County
VA,51,51005,Alleghany County
VA,51,51007,Amelia County
VA,51,51009,Amherst County
VA,51,51011,Appomattox County
VA,51,51013,Arlington County
VA,51,51015,Augusta County
VA,51,51017,Bath County
VA,51,51019,Bedford County
VA,51,51021,Bland County
VA,51,51023,Botetourt County
VA,51,51025,Brunswick County
VA,51,51027,Buchanan County
VA,51,51029,Buckingham County
VA,51,51031,Campbell County
VA,51,51033,Caroline County
VA,51,51035,Carroll County
VA,51,51036,Charles City County
VA,51,51037,Charlotte County
VA,51,51041,Chesterfield County
VA,51,51043,Clarke County
VA,51,51045,Craig County
VA,51,51047,Culpeper County
VA,51,51049,Cumberland County
VA,51,51051,Dickenson County
VA,51,51053,Dinwiddie County
VA,51,51057,Essex County
VA,51,51059,Fairfax County
VA,51,51061,Fauquier County
VA,51,51063,Floyd County
VA,51,51065,Fluvanna County
VA,51,51067,Franklin County
VA,51,51069,Frederick County
VA,51,51071,Giles County
VA,51,51073,Gloucester County
VA,51,51075,Goochland County
VA,51,51077,Grayson County
VA,51,51079,Greene County
VA,51,51081,Greensville County
VA,51,51083,Halifax County
VA,51,51085,Hanover County
VA,51,51087,Henrico County
VA,51,51089,Henry County
VA,51,51091,Highland County
VA,51,51093,Isle of Wight County
VA,51,51095,James City County
VA,51,51097,King and Queen County
VA,51,51099,King George County
VA,51,51101,King William County
VA,51,51103,Lancaster County
VA,51,51105,Lee County
VA,51,51107,Loudoun County
VA,51,51109,Louisa County
VA,51,51111,Lunenburg County
VA,51,51113,Madison County
VA,51,51115,Mathews County
VA,51,51117,Mecklenburg County
VA,51,51119,Middlesex County
VA,51,51121,Montgomery County
VA,51,51125,Nelson County
VA,51,51127,New Kent County
VA,51,51131,Northampton County
VA,51,51133,Northumberland County
VA,51,51135,Nottoway County
VA,51,51137,Orange County
VA,51,51139,Page County
VA,51,51141,Patrick County
VA,51,51143,Pittsylvania County
VA,51,51145,Powhatan County
VA,51,51147,Prince Edward County
VA,51,51149,Prince George County
VA,51,51153,Prince William County
VA,51,51155,Pulaski County
VA,51,51157,Rappahannock County
VA,51,51159,Richmond County
VA,51,51161,Roanoke County
VA,51,51163,Rockbridge County
VA,51,51165,Rockingham County
VA,51,51167,Russell County
VA,51,51169,Scott County
VA,51,51171,Shenandoah County
VA,51,51173,Smyth County
VA,51,51175,Southampton County
